Survived,Pclass,Sex,Age,SibSp,Parch,Ticket,Fare,Cabin,Embarked,Title
0,3,male,33.0,1,1,3,20.525,N,S,Mr.
0,2,male,18.0,0,0,S,73.5,N,S,Mr.
1,2,female,34.0,0,0,2,13.0,N,S,Miss.
0,3,female,18.0,0,1,2,14.4542,N,C,Miss.
0,3,male,47.0,0,0,3,9.0,N,S,Mr.
0,3,male,30.0,0,0,2,7.2292,N,C,Mr.
1,2,female,19.0,0,0,2,26.0,N,S,Miss.
0,3,male,22.0,0,0,P,9.35,N,S,Mr.
0,3,female,25.0,1,0,S,7.925,N,S,Miss.
1,3,female,,2,0,3,23.25,N,Q,Miss.
1,1,female,24.0,0,0,P,69.3,B,C,Mme.
0,3,male,36.0,1,0,3,15.55,N,S,Mr.
0,1,male,38.0,0,1,P,153.4625,C,S,Mr.
0,1,male,45.0,0,0,1,35.5,T,S,Mr.
0,3,female,10.0,0,2,3,24.15,N,S,Miss.
0,3,male,19.0,0,0,3,10.1708,N,S,Mr.
0,3,male,41.0,2,0,3,14.1083,N,S,Mr.
1,1,male,35.0,0,0,P,512.3292,B,C,Mr.
0,3,male,17.0,0,0,3,8.6625,N,S,Mr.
0,3,male,,0,0,A,8.05,N,S,Mr.
0,3,female,20.0,0,0,3,8.6625,N,S,Miss.
0,3,female,,0,0,3,8.05,N,S,Mrs.
0,3,male,4.0,3,2,3,27.9,N,S,Master.
1,1,male,35.0,0,0,1,26.55,N,C,Mr.
0,3,female,,1,2,W,23.45,N,S,Miss.
0,3,male,22.0,0,0,3,7.5208,N,S,Mr.
0,3,male,40.0,1,4,3,27.9,N,S,Mr.
1,2,female,8.0,0,2,C,26.25,N,S,Miss.
0,3,male,25.0,0,0,3,7.7417,N,Q,Mr.
1,3,female,18.0,0,1,3,9.35,N,S,Mrs.
0,3,male,22.0,0,0,3,8.05,N,S,Mr.
0,3,male,25.0,0,0,S,7.05,N,S,Mr.
1,3,male,32.0,0,0,3,7.8542,N,S,Mr.
0,3,male,,0,0,3,7.75,N,Q,Mr.
1,2,female,50.0,0,1,2,26.0,N,S,Mrs.
0,1,male,47.0,0,0,5,25.5875,E,S,Mr.
1,1,male,80.0,0,0,2,30.0,A,S,Mr.
0,1,male,37.0,1,0,1,53.1,C,S,Mr.
0,3,male,2.0,3,1,3,21.075,N,S,Master.
0,3,female,,0,0,3,7.6292,N,Q,Miss.
1,1,female,33.0,0,0,1,86.5,B,S,Countess.
1,3,male,20.0,1,1,2,15.7417,N,C,Mr.
1,1,female,16.0,0,1,P,39.4,D,S,Miss.
1,2,male,3.0,1,1,2,18.75,N,S,Master.
0,3,male,,0,0,3,7.75,N,Q,Mr.
0,3,male,25.0,1,0,3,17.8,N,S,Mr.
0,3,male,40.5,0,2,A,14.5,N,S,Mr.
0,2,male,25.0,0,0,2,13.0,N,S,Mr.
0,1,male,46.0,0,0,P,79.2,B,C,Mr.
0,3,male,,0,0,1,7.75,N,Q,Mr.
0,2,male,23.0,0,0,2,13.0,N,S,Mr.
1,2,female,21.0,0,0,C,10.5,N,S,Miss.
1,3,male,39.0,0,0,S,7.925,N,S,Mr.
1,2,female,23.0,0,0,S,13.7917,D,C,Mrs.
0,3,male,,0,0,3,7.725,N,Q,Mr.
0,2,male,39.0,0,0,2,13.0,N,S,Mr.
0,3,female,,0,2,3,7.75,N,Q,Miss.
1,1,female,16.0,0,0,1,86.5,B,S,Miss.
0,3,male,,0,0,2,7.2292,N,C,Mr.
1,1,female,39.0,1,0,1,55.9,E,S,Mrs.
1,3,female,,0,0,9,7.75,N,Q,Miss.
1,1,female,38.0,0,0,P,227.525,C,C,Miss.
0,3,male,35.0,0,0,S,7.125,N,S,Mr.
0,3,male,17.0,0,0,3,8.6625,N,S,Mr.
0,1,male,29.0,1,0,1,66.6,C,S,Mr.
0,3,male,11.0,5,2,C,46.9,N,S,Master.
1,1,female,29.0,0,0,2,211.3375,B,S,Miss.
1,3,male,,0,0,3,7.75,N,Q,Mr.
0,3,male,,1,0,6,19.9667,N,S,Mr.
0,3,female,30.5,0,0,3,7.75,N,Q,Miss.
1,1,male,52.0,0,0,1,30.5,C,S,Major.
0,3,male,21.0,0,0,5,16.1,N,S,Mr.
1,2,female,24.0,2,3,2,18.75,N,S,Mrs.
1,1,female,24.0,0,0,P,69.3,B,C,Mlle.
0,1,male,,0,0,P,30.6958,N,C,Mr.
0,2,male,30.0,0,0,W,10.5,N,S,Mr.
0,1,male,,0,0,1,42.4,N,S,Mr.
0,3,male,16.0,0,0,3,9.5,N,S,Mr.
1,3,male,3.0,1,1,C,15.9,N,S,Master.
1,2,female,22.0,1,2,S,41.5792,N,C,Mrs.
0,3,male,35.0,0,0,3,8.05,N,S,Mr.
1,2,female,27.0,0,0,3,10.5,E,S,Miss.
0,2,male,48.0,0,0,2,13.0,N,S,Mr.
1,1,female,15.0,0,1,2,211.3375,B,S,Miss.
0,3,male,,0,0,3,8.7125,N,C,Mr.
1,1,female,17.0,1,0,1,57.0,B,S,Mrs.
0,3,male,,0,0,3,24.15,N,Q,Mr.
0,3,male,25.0,0,0,3,7.8958,N,S,Mr.
0,3,female,30.0,0,0,3,8.6625,N,S,Miss.
1,2,male,0.83,1,1,2,18.75,N,S,Master.
0,3,female,45.0,0,0,3,7.75,N,S,Miss.
0,1,male,,0,0,1,26.0,A,S,Mr.
0,3,male,,0,0,3,7.25,N,S,Mr.
1,2,female,28.0,1,0,2,26.0,N,S,Mrs.
0,3,male,28.0,0,0,3,7.8542,N,S,Mr.
0,2,male,21.0,2,0,S,73.5,N,S,Mr.
0,1,male,33.0,0,0,6,5.0,B,S,Mr.
0,3,male,39.0,1,5,3,31.275,N,S,Mr.
0,2,male,54.0,0,0,2,26.0,N,S,Mr.
1,3,male,29.0,0,0,3,7.8958,N,C,Mr.
1,1,female,45.0,1,1,3,164.8667,N,S,Mrs.
0,3,male,44.0,0,1,3,16.1,N,S,Mr.
0,3,male,,0,0,3,9.5,N,S,Mr.
0,3,male,,0,0,3,7.8958,N,S,Mr.
0,3,male,32.0,0,0,S,7.925,N,S,Mr.
1,3,male,20.0,1,0,S,7.925,N,S,Mr.
1,1,female,58.0,0,0,P,146.5208,B,C,Miss.
0,2,male,19.0,0,0,2,13.0,N,S,Mr.
0,1,male,45.0,0,0,1,26.55,B,S,Major.
0,3,male,1.0,4,1,3,39.6875,N,S,Master.
1,3,female,21.0,0,0,3,7.65,N,S,Miss.
0,3,male,2.0,4,1,3,29.125,N,Q,Master.
0,3,male,19.0,0,0,3,14.5,N,S,Mr.
0,3,male,31.0,0,0,3,7.775,N,S,Mr.
1,1,female,36.0,0,2,W,71.0,B,S,Miss.
1,1,female,16.0,0,1,1,57.9792,B,C,Miss.
0,3,male,9.0,5,2,C,46.9,N,S,Master.
0,1,female,25.0,1,2,1,151.55,C,S,Mrs.
1,2,female,31.0,1,1,C,26.25,N,S,Mrs.
0,2,male,34.0,1,0,2,21.0,N,S,Mr.
0,2,male,32.0,2,0,S,73.5,N,S,Mr.
0,3,male,26.0,1,2,C,20.575,N,S,Mr.
0,3,male,17.0,0,0,S,7.125,N,S,Mr.
0,1,male,28.0,0,0,1,47.1,N,S,Mr.
0,3,male,31.0,0,0,3,7.75,N,Q,Mr.
1,3,male,,0,0,1,56.4958,N,S,Mr.
1,3,male,44.0,0,0,S,7.925,N,S,Mr.
1,3,male,4.0,1,1,3,11.1333,N,S,Master.
1,2,female,18.0,0,1,2,23.0,N,S,Miss.
1,3,female,23.0,0,0,C,7.55,N,S,Miss.
1,1,female,33.0,1,0,1,53.1,E,S,Mrs.
1,2,female,30.0,0,0,2,12.35,N,Q,Miss.
1,1,female,48.0,1,0,1,39.6,A,C,Lady.
0,2,female,38.0,0,0,2,13.0,N,S,Miss.
0,3,male,26.0,2,0,3,8.6625,N,S,Mr.
0,3,male,24.0,0,0,3,7.4958,N,S,Mr.
1,3,male,26.0,0,0,1,56.4958,N,S,Mr.
1,2,male,2.0,1,1,2,26.0,F,S,Master.
0,2,male,27.0,0,0,2,13.0,N,S,Mr.
0,3,male,2.0,4,1,3,39.6875,N,S,Master.
1,3,male,27.0,0,0,3,7.7958,N,S,Mr.
1,3,female,22.0,0,0,3,7.75,N,Q,Miss.
0,3,male,,0,0,3,7.8958,N,S,Mr.
0,3,female,17.0,0,0,2,14.4583,N,C,Miss.
0,3,male,28.0,0,0,C,22.525,N,S,Mr.
0,3,female,,8,2,C,69.55,N,S,Miss.
0,3,female,,8,2,C,69.55,N,S,Miss.
0,3,male,,3,1,4,25.4667,N,S,Master.
0,1,male,,0,0,P,25.925,N,S,Mr.
1,3,female,,1,0,3,16.1,N,S,Mrs.
1,3,female,22.0,0,0,C,7.25,N,S,Miss.
1,1,male,36.0,0,1,P,512.3292,B,C,Mr.
0,3,male,18.0,0,0,3,7.75,N,S,Mr.
0,2,male,18.0,0,0,2,11.5,N,S,Mr.
0,2,male,25.0,1,2,S,41.5792,N,C,Mr.
0,3,male,36.0,0,0,3,7.8958,N,S,Mr.
1,1,female,19.0,0,2,1,26.2833,D,S,Miss.
1,2,female,13.0,0,1,2,19.5,N,S,Miss.
0,3,male,16.0,1,1,C,20.25,N,S,Mr.
0,3,female,41.0,0,2,3,20.2125,N,S,Mrs.
0,3,male,,1,2,W,23.45,N,S,Mr.
1,1,female,26.0,0,0,1,78.85,N,S,Miss.
0,3,male,18.0,0,0,2,8.3,N,S,Mr.
1,3,male,6.0,0,1,3,12.475,E,S,Master.
0,2,male,59.0,0,0,2,13.5,N,S,Mr.
1,1,male,48.0,1,0,P,76.7292,D,C,Mr.
0,2,male,66.0,0,0,C,10.5,N,S,Mr.
1,1,female,23.0,3,2,1,263.0,C,S,Miss.
1,3,female,19.0,0,0,3,7.8792,N,Q,Miss.
1,1,female,24.0,3,2,1,263.0,C,S,Miss.
1,1,female,38.0,0,0,1,80.0,B,None,Miss.
0,3,male,,8,2,C,69.55,N,S,Mr.
0,2,female,24.0,0,0,2,13.0,N,S,Miss.
1,3,male,32.0,0,0,S,8.05,E,S,Mr.
0,3,male,,0,0,3,7.775,N,S,Mr.
1,3,female,24.0,0,2,P,16.7,G,S,Mrs.
0,1,female,2.0,1,2,1,151.55,C,S,Miss.
0,3,male,26.0,1,0,2,14.4542,N,C,Mr.
1,1,female,23.0,1,0,3,113.275,D,C,Miss.
1,2,male,,0,0,S,13.8625,N,C,Mr.
1,3,male,32.0,0,0,S,7.925,N,S,Mr.
0,3,female,9.0,4,2,3,31.275,N,S,Miss.
0,3,male,34.0,0,0,3,8.05,N,S,Mr.
0,1,male,36.0,1,0,1,78.85,C,S,Mr.
1,2,female,30.0,0,0,2,13.0,N,S,Miss.
0,3,male,36.0,0,0,3,7.4958,N,S,Mr.
0,2,male,42.0,1,0,2,27.0,N,S,Mr.
1,1,female,22.0,0,2,1,49.5,B,C,Miss.
0,3,female,48.0,1,3,W,34.375,N,S,Mrs.
0,3,male,21.0,0,0,3,7.8542,N,S,Mr.
0,3,male,43.0,0,0,A,8.05,N,S,Mr.
0,2,male,,0,0,2,0.0,N,S,Mr.
0,3,male,21.0,0,0,A,7.7333,N,Q,Mr.
0,3,male,16.0,0,0,7,9.2167,N,S,Mr.
0,3,male,22.0,0,0,A,7.25,N,S,Mr.
0,3,male,34.0,1,1,3,14.4,N,S,Mr.
0,1,male,19.0,1,0,1,53.1,D,S,Mr.
0,1,male,70.0,1,1,W,71.0,B,S,Capt.
0,3,male,24.0,0,0,3,9.5,N,S,Mr.
0,3,male,30.5,0,0,3,8.05,N,S,Mr.
0,2,male,24.0,0,0,C,10.5,N,S,Mr.
0,3,male,19.0,0,0,S,8.1583,N,S,Mr.
0,3,female,8.0,3,1,3,21.075,N,S,Miss.
1,3,female,1.0,0,2,2,15.7417,N,C,Miss.
1,3,female,27.0,0,0,S,7.925,N,S,Miss.
0,3,male,45.0,0,0,3,6.975,N,S,Mr.
0,3,male,42.0,0,0,3,8.6625,N,S,Mr.
0,3,female,14.5,1,0,2,14.4542,N,C,Miss.
1,1,female,,0,1,1,55.0,E,S,Mrs.
1,3,male,26.0,0,0,2,18.7875,N,C,Mr.
0,1,male,64.0,1,4,1,263.0,C,S,Mr.
0,3,male,,0,0,3,7.8292,N,Q,Mr.
1,3,female,,0,0,3,7.75,N,Q,Miss.
1,1,female,56.0,0,1,1,83.1583,C,C,Mrs.
1,1,female,52.0,1,0,3,78.2667,D,C,Mrs.
0,1,male,,0,0,1,26.55,C,S,Mr.
0,3,male,40.5,0,0,3,7.75,N,Q,Mr.
0,3,male,22.0,0,0,3,7.8958,N,S,Mr.
1,3,female,0.75,2,1,2,19.2583,N,C,Miss.
0,3,male,61.0,0,0,3,6.2375,N,S,Mr.
0,3,male,,0,0,A,8.05,N,S,Mr.
1,1,male,,0,0,1,26.55,N,S,Mr.
0,2,male,18.0,0,0,2,13.0,N,S,Mr.
1,2,male,31.0,0,0,2,13.0,N,S,Mr.
0,3,male,36.0,1,1,3,24.15,N,S,Mr.
1,1,male,4.0,0,2,3,81.8583,A,S,Master.
0,2,male,29.0,1,0,1,21.0,N,S,Mr.
0,3,male,,0,0,A,8.05,N,S,Mr.
1,3,female,38.0,1,5,3,31.3875,N,S,Mrs.
0,1,male,47.0,0,0,1,52.0,C,S,Mr.
0,2,male,42.0,0,0,2,13.0,N,S,Rev.
0,3,male,55.5,0,0,A,8.05,N,S,Mr.
0,3,male,39.0,0,0,3,7.925,N,S,Mr.
0,3,male,44.0,0,0,3,8.05,N,S,Mr.
1,1,male,42.0,1,0,1,52.5542,D,S,Mr.
0,3,male,34.0,0,0,3,8.05,N,S,Mr.
0,3,male,,0,0,2,7.225,N,C,Mr.
0,1,male,24.0,0,0,P,79.2,B,C,Mr.
0,3,male,,0,0,3,7.75,N,Q,Mr.
1,2,female,22.0,1,1,2,29.0,N,S,Mrs.
1,2,female,42.0,0,0,2,13.0,N,S,Mrs.
1,1,male,37.0,1,1,1,52.5542,D,S,Mr.
0,2,male,36.0,1,2,C,27.75,N,S,Mr.
0,3,male,,0,0,3,7.8958,N,S,Mr.
1,1,male,27.0,0,0,1,30.5,N,S,Mr.
1,3,female,,0,0,2,7.225,N,C,Mrs.
1,3,female,31.0,1,1,3,20.525,N,S,Mrs.
0,3,male,23.5,0,0,2,7.2292,N,C,Mr.
1,1,female,35.0,0,0,P,135.6333,C,S,Miss.
1,2,male,19.0,0,0,S,10.5,N,S,Mr.
0,3,male,59.0,0,0,3,7.25,N,S,Mr.
0,1,male,47.0,0,0,3,34.0208,D,S,Mr.
0,2,male,31.0,1,1,C,26.25,N,S,Mr.
0,3,male,65.0,0,0,3,7.75,N,Q,Mr.
1,3,male,30.0,0,0,3,9.5,N,S,Mr.
0,3,male,,0,0,A,8.05,N,S,Mr.
0,3,male,,0,0,1,56.4958,N,S,Mr.
1,3,male,,0,0,6,8.1125,N,S,Mr.
1,3,female,4.0,0,2,3,22.025,N,S,Miss.
0,3,male,18.0,1,0,3,6.4958,N,S,Mr.
0,3,male,,0,0,3,7.75,F,Q,Mr.
0,1,male,31.0,0,0,P,50.4958,A,S,Mr.
1,1,female,63.0,1,0,1,77.9583,D,S,Miss.
1,1,female,62.0,0,0,1,80.0,B,None,Mrs.
0,3,male,9.0,4,2,3,31.3875,N,S,Master.
1,3,female,,0,0,3,7.75,N,Q,Miss.
0,3,male,22.0,0,0,3,9.0,N,S,Mr.
1,1,female,17.0,1,0,P,108.9,C,C,Mrs.
1,1,female,58.0,0,0,1,26.55,C,S,Miss.
1,2,female,3.0,1,2,S,41.5792,N,C,Miss.
0,3,male,16.0,1,3,W,34.375,N,S,Mr.
1,3,male,,0,0,2,7.2292,N,C,Mr.
1,1,female,47.0,1,1,1,52.5542,D,S,Mrs.
1,2,female,5.0,1,2,C,27.75,N,S,Miss.
0,2,female,27.0,1,0,1,21.0,N,S,Mrs.
0,3,male,,0,0,3,6.8583,N,Q,Mr.
0,2,male,28.0,0,0,2,13.5,N,S,Mr.
1,1,male,40.0,0,0,1,31.0,A,C,Mr.
0,2,male,36.5,0,2,2,26.0,F,S,Mr.
0,3,male,,0,0,3,7.8958,N,S,Mr.
0,2,male,37.0,1,0,S,26.0,N,S,Mr.
1,2,female,32.5,0,0,2,13.0,E,S,Miss.
0,2,male,23.0,0,0,2,13.0,N,S,Mr.
0,3,male,16.0,0,0,A,8.05,N,S,Mr.
1,2,female,34.0,0,1,2,23.0,N,S,Mrs.
0,1,male,27.0,0,2,1,211.5,C,C,Mr.
0,3,male,33.0,0,0,3,7.8958,N,C,Mr.
0,3,male,42.0,0,0,3,7.65,F,S,Mr.
1,1,male,28.0,0,0,1,35.5,A,S,Mr.
0,3,male,,0,0,2,7.225,N,C,Mr.
0,1,male,62.0,0,0,1,26.55,N,S,Mr.
1,1,male,25.0,1,0,1,55.4417,E,C,Mr.
1,1,male,36.0,0,0,P,26.2875,E,S,Mr.
1,1,female,35.0,1,0,1,52.0,N,S,Mrs.
0,3,male,,8,2,C,69.55,N,S,Mr.
1,3,female,,0,0,1,7.75,N,Q,Miss.
1,3,female,22.0,0,0,3,7.775,N,S,Miss.
0,3,female,39.0,1,5,3,31.275,N,S,Mrs.
1,2,female,36.0,0,0,2,13.0,N,S,Miss.
0,2,male,36.0,0,0,S,12.875,D,C,Mr.
1,1,male,31.0,1,0,1,57.0,B,S,Mr.
1,1,female,,0,0,P,79.2,N,C,Mrs.
0,3,male,30.0,0,0,3,7.8958,N,S,Mr.
0,3,male,42.0,0,1,4,8.4042,N,S,Mr.
0,3,male,,0,0,3,8.05,N,S,Mr.
0,2,female,44.0,1,0,2,26.0,N,S,Mrs.
0,3,male,21.0,0,0,3,8.6625,N,S,Mr.
0,3,male,28.0,0,0,1,56.4958,N,S,Mr.
1,1,female,39.0,1,1,1,110.8833,C,C,Mrs.
1,1,male,0.92,1,2,1,151.55,C,S,Master.
0,3,male,,0,0,3,7.75,N,Q,Mr.
0,1,male,22.0,0,0,P,135.6333,N,C,Mr.
0,3,male,33.0,0,0,3,7.775,N,S,Mr.
0,2,male,16.0,0,0,2,26.0,N,S,Mr.
0,3,male,20.5,0,0,A,7.25,N,S,Mr.
1,1,male,50.0,2,0,P,133.65,N,S,Dr.
0,3,male,19.0,0,0,3,6.75,N,Q,Mr.
0,3,female,,8,2,C,69.55,N,S,Miss.
0,3,male,20.0,0,0,S,7.05,N,S,Mr.
1,1,female,30.0,0,0,1,31.0,N,C,Miss.
1,3,female,,0,0,1,7.75,N,Q,Miss.
1,2,female,54.0,1,3,2,23.0,N,S,Mrs.
0,3,male,,8,2,C,69.55,N,S,Mr.
0,3,male,45.5,0,0,2,7.225,N,C,Mr.
1,2,female,17.0,0,0,S,10.5,N,S,Miss.
0,1,male,,0,0,1,0.0,N,S,Mr.
0,3,male,24.0,2,0,A,24.15,N,S,Mr.
0,3,male,,0,0,S,7.05,N,S,Mr.
0,2,male,23.0,0,0,2,10.5,N,S,Dr.
0,3,male,20.0,0,0,3,7.8542,N,S,Mr.
1,3,female,,0,0,3,7.7875,N,Q,Miss.
1,1,male,28.0,0,0,1,26.55,C,S,Mr.
1,1,female,43.0,0,1,2,211.3375,B,S,Mrs.
0,3,female,2.0,4,2,3,31.275,N,S,Miss.
1,1,female,19.0,1,0,1,91.0792,B,C,Mrs.
0,3,male,28.5,0,0,2,7.2292,N,C,Mr.
0,3,male,27.0,0,0,3,7.8958,N,S,Mr.
1,1,female,30.0,0,0,1,86.5,B,S,Miss.
0,3,male,20.0,0,0,S,7.925,N,S,Mr.
0,3,male,25.0,1,0,3,7.775,N,S,Mr.
0,3,male,,0,0,3,7.8958,N,C,Mr.
0,3,female,26.0,1,0,A,16.1,N,S,Mrs.
0,3,male,,0,0,3,7.7292,N,Q,Mr.
0,3,male,,0,0,3,7.8958,N,S,Mr.
0,1,male,37.0,0,1,P,29.7,C,C,Mr.
0,3,male,28.0,0,0,3,7.7958,N,S,Mr.
0,3,male,30.0,0,0,A,8.05,N,S,Mr.
1,1,male,17.0,0,2,1,110.8833,C,C,Mr.
1,2,female,29.0,1,0,2,26.0,N,S,Mrs.
1,3,female,15.0,1,0,2,14.4542,N,C,Mrs.
1,3,female,,1,1,2,22.3583,F,C,Miss.
1,1,male,11.0,1,2,1,120.0,B,S,Master.
1,3,female,,0,0,3,7.8792,N,Q,Miss.
1,2,male,1.0,2,1,2,39.0,F,S,Master.
0,3,male,,0,0,3,7.75,N,Q,Mr.
1,3,male,29.0,0,0,3,7.75,N,Q,Mr.
0,3,male,18.0,0,0,3,7.775,N,S,Mr.
1,1,female,22.0,1,0,1,66.6,C,S,Mrs.
0,3,male,30.0,0,0,2,7.225,N,C,Mr.
0,2,male,52.0,0,0,2,13.0,N,S,Mr.
1,2,male,32.0,1,0,2,26.0,N,S,Mr.
0,1,male,50.0,1,0,P,106.425,C,C,Mr.
0,3,male,,1,0,3,16.1,N,S,Mr.
1,3,female,,0,0,3,7.7333,N,Q,Miss.
0,2,male,36.0,0,0,C,10.5,N,S,Mr.
1,2,male,42.0,0,0,2,13.0,N,S,Mr.
0,3,female,28.0,1,1,3,14.4,N,S,Mrs.
0,3,female,9.0,2,2,W,34.375,N,S,Miss.
0,1,male,58.0,0,2,3,113.275,D,C,Mr.
1,3,female,31.0,0,0,3,8.6833,N,S,Mrs.
1,3,female,24.0,0,3,2,19.2583,N,C,Mrs.
0,1,female,50.0,0,0,P,28.7125,C,C,Miss.
0,2,male,34.0,1,0,2,26.0,N,S,Mr.
0,3,male,4.0,4,2,3,31.275,N,S,Master.
1,3,female,5.0,2,1,2,19.2583,N,C,Miss.
1,3,female,,1,0,3,16.1,N,S,Mrs.
0,3,male,35.0,0,0,3,7.8958,N,C,Mr.
1,3,male,,1,1,2,15.2458,N,C,Master.
1,2,male,0.67,1,1,2,14.5,N,S,Master.
0,3,male,21.0,0,0,S,7.925,N,S,Mr.
1,3,female,5.0,0,0,3,12.475,N,S,Miss.
0,2,male,21.0,0,0,S,73.5,N,S,Mr.
0,3,male,42.0,0,0,C,7.55,N,S,Mr.
1,1,female,30.0,0,0,P,106.425,N,C,Miss.
1,3,female,18.0,0,0,4,9.8417,N,S,Miss.
1,1,female,,1,0,1,89.1042,C,C,Mrs.
1,2,female,28.0,1,0,P,24.0,N,C,Mrs.
0,1,male,56.0,0,0,1,30.6958,A,C,Mr.
0,3,male,,0,0,S,8.05,N,S,Mr.
0,2,male,27.0,0,0,2,26.0,N,S,Mr.
1,1,female,35.0,1,0,1,90.0,C,S,Mrs.
0,2,male,39.0,0,0,2,26.0,N,S,Mr.
0,2,male,43.0,1,1,F,26.25,N,S,Mr.
0,3,female,31.0,0,0,3,7.8542,N,S,Miss.
1,2,female,24.0,2,1,2,27.0,N,S,Mrs.
1,2,female,33.0,1,2,C,27.75,N,S,Mrs.
0,2,male,32.0,0,0,C,10.5,N,S,Mr.
1,1,male,49.0,1,0,P,56.9292,A,C,Sir.
1,3,male,27.0,0,0,3,6.975,N,S,Mr.
1,2,female,48.0,1,2,2,65.0,N,S,Mrs.
0,2,male,,0,0,2,0.0,N,S,Mr.
0,2,male,50.0,0,0,2,13.0,N,S,Mr.
1,2,female,14.0,1,0,2,30.0708,N,C,Mrs.
1,3,female,,0,0,3,7.8792,N,Q,Miss.
1,1,male,42.0,0,0,P,26.2875,E,S,Mr.
1,1,female,36.0,1,2,1,120.0,B,S,Mrs.
1,1,female,39.0,1,1,P,83.1583,E,C,Miss.
1,3,female,19.0,1,0,3,7.8542,N,S,Miss.
0,3,male,,0,0,3,7.7333,N,Q,Mr.
1,3,female,36.0,1,0,3,17.4,N,S,Mrs.
0,2,male,60.0,1,1,2,39.0,N,S,Mr.
